vendor,camera,sensor_name,aspect,fov,pixel_pitch,res_w,res_h,sensor_w_mm,sensor_h_mm,focal_length
RED,RAVEN 4.5K,4K WS,2.3704,14.07,0.005000,4096,1728,20.48,8.64,35.00
RED,RAVEN 4.5K,4K HD,1.7778,17.54,0.005000,3840,2160,19.20,10.80,35.00
RED,RAVEN 4.5K,3.5K FF,1.9104,15.26,0.005000,3584,1876,17.92,9.38,35.00
RED,RAVEN 4.5K,3.5K 2:1,2.0000,14.59,0.005000,3584,1792,17.92,8.96,35.00
RED,RAVEN 4.5K,3.5K WS,2.3704,12.33,0.005000,3584,1512,17.92,7.56,35.00
RED,RAVEN 4.5K,3.5K HD,1.7910,15.26,0.005000,3360,1876,16.80,9.38,35.00
RED,RAVEN 4.5K,3K FF,1.8963,13.20,0.005000,3072,1620,15.36,8.10,35.00
RED,RAVEN 4.5K,3K 2:1,2.0000,12.52,0.005000,3072,1536,15.36,7.68,35.00
RED,RAVEN 4.5K,3K WS,2.3704,10.58,0.005000,3072,1296,15.36,6.48,35.00
RED,RAVEN 4.5K,3K HD,1.7778,13.20,0.005000,2880,1620,14.40,8.10,35.00
RED,RAVEN 4.5K,2.5K FF,1.9104,10.93,0.005000,2560,1340,12.80,6.70,35.00
RED,RAVEN 4.5K,2.5K 2:1,2.0000,10.45,0.005000,2560,1280,12.80,6.40,35.00
RED,RAVEN 4.5K,2.5K WS,2.3704,8.82,0.005000,2560,1080,12.80,5.40,35.00
RED,RAVEN 4.5K,2.5K HD,1.7910,10.93,0.005000,2400,1340,12.00,6.70,35.00
RED,RAVEN 4.5K,2K FF,1.8963,8.82,0.005000,2048,1080,10.24,5.40,35.00
RED,RAVEN 4.5K,2K 2:1,2.0000,8.37,0.005000,2048,1024,10.24,5.12,35.00
RED,RAVEN 4.5K,2K WS,2.3704,7.06,0.005000,2048,864,10.24,4.32,35.00
RED,RAVEN 4.5K,2K HD,1.7778,8.82,0.005000,1920,1080,9.60,5.40,35.00
RED,RAVEN 4.5K,1K HD,1.7778,6.35,0.005398,1280,720,6.91,3.88,35.00
RED,RAVEN 4.5K,1K WS,2.6667,4.24,0.005398,1280,480,6.91,2.59,35.00
RED,SCARLET MX,5K FF,1.8963,23.53,0.005400,5120,2700,27.65,14.58,35.00
RED,SCARLET MX,5K HD,1.7778,23.53,0.005400,4800,2700,25.92,14.58,35.00
RED,SCARLET MX,5K 2:1,2.0000,22.35,0.005400,5120,2560,27.65,13.83,35.00
RED,SCARLET MX,5K WS,2.3704,18.91,0.005400,5120,2160,27.65,11.66,35.00
